story,when,where
"¨I am Romanian, I have been asked if am sex worked and If a steal things. I have been asked how I get my visa to live in Europe. (Romania has been part of Eu since 2007).¨",Unknown," Berliner Mauer, Wiesenufer, Kungerkiez, Alt-Treptow, Treptow-Köpenick, Berlim, 12435, "
¨I lost an apartment just because I am a Bulgarian.¨,Unknown, Buddestraße (26338220)
"¨After experiencing several blunt racisms since the Covid-19 outbreak, being woman and also being Asian sometimes makes me feel terrified living here.¨",Unknown,Tempelhofer 
"They assumed I was stealing a soda even though I had a receipt. The bottle was already empty, in my hand, to be discarded. I realized that it was because I didn't speak German and English is an intermediate level. I heard something like ""those Latinos""",Unknown,"Englischer Garten, Berlin"
¨My teenage daughter stopped swimming in a local pool after suffering sexual harassment. She has 14 years old.¨,Unknown,Ebertsbrucke
"¨A guy came, touched my body in a station and stood there staring¨",2021,"Koppenstraße 3, 10243 Berlin"
"¨A neighbor came to complain on a Thursday afternoon about the volume of my music (I had the window open). I had just moved into the apartment and was feeling happy about that and dancing alone. Suddenly a massive sound from the door came, someone hitting it hard as to crash it down. I was even afraid to open the door and when I did it, a lady who lives two floors below me and that I was seeing for the first time told me she was going to call the police, other things and that ""du hast keine Recht hier zu leben!"" (you don't have any right to live here), all in a furious manner. Then turned around and left. I cried all day long and will never forget this phrase.¨",2017,Friedrichshain
"¨I was in an esoteric shop and the owner asked where I was from. When I said I was from Brazil he said Humm from Brazil, the best porno stars, and I don't need to describe his face while he was saying that, right?¨",Unknown,Wrangelkiez
"¨One time I was sitting just in front of a man on the U-Bahn who had his hand in his pocket, it was very obvious he was touching himself. I frozen. After a moment I gathered courage and gave him a horrible look and he stopped immediately taking the hand out of the pocket. So he knew it was not ok and he could be seen.¨",2021,Hugo preussbrucke
¨My roots are Polish and I have been asked if I love sex as much as other Polish do.¨,Unknown,Hansaufer 
¨I have been questioned many times how can I am Russian and don't have a Russian accent And most of the time people get genuinely surprised that I am here on a working visa and spouse visa¨,Unknown,"Uferweg, berlin "
"¨I am from Bulgaria and most of the time people ask if I am a gypsie. I lived in Amsterdam for 4 years and never got any attitude there. Got the point that when I was looking for an apartment in an agency, they ask me to just go back to the country where I came from¨",Unknown,CharlotenburguerUfer 
"¨I was walking home and was walking quickly to get to my door. A man started talking to me, I was polite, and as I turned to go to my door he followed me and continued talking to me while I was unlocking my door. He tried to push me to the door while I was getting in. I ran up to my apartment, all the way on the 4th floor, and he luckily didn't follow me but he absolutely could have and I was definitely scared. When I was running away he yelled “ich habe nur eine frage!”— he was trying to keep me talking to him after he had been asking me to go get a drink, asked me for a hug, asked what I was in such a hurry for. All of this was within 10 seconds of reaching my door. Like he started talking to me when I was within 10 meters from my door.¨",2019,Prenzlauerberg
"¨On a night-flix bus, a guy behind me was touching himself, just like that, super openly because most of the people slept, but the lights were on. I stood up and looked at him, then he said sorry and put back his pants. (Speaking to the driver wasn't possible, language barrier)¨",2021,IburgerUfer 
"¨Yesterday at 18:35 I was waiting for my train at Franz-Neumann-Platz in Wedding to go to the center, sitting on the bench and scrolling on my phone. A teenage boy came from behind, tapped me on the shoulder, and when I turned he sprayed some liquid (not water, as the eye burned) directly into my eye. This was terrifying, as the bottle in his hands looked like some house cleaning bottle, so I had no idea what was in my eye and on my face¨",2021,Franz-Neumann-Platz 
"¨I am from Southeast Asia and people always ask if I am here to get married to a German, so I can settle here.¨",Unknown,Einsteiufer 
¨I am American Asian and every time I am on the street alone without my kids I hear sexual remarks¨,Unknown,herkulersufer
¨I have been told I am too mellow for an Eastern European girl.,Unknown,Prenzlauerberg
¨Someone touched me from behind and again in the same place a man who was in a car started to follow me and call me.,2020,S Schöneweide
"¨I was on my first tinder date at a bar in Kreuzberg. The guy knew the people working in this bar and they knew him. He talked about his father and said he was a policeman and a powerful man in Germany. Everything went well, we kissed, but then I was tired and needed to work the next day so I didn't have any alcohol at all. He insisted on having a last drink before I went home and he ordered something with alcohol without my approval. I finally agreed to have this one drink and then go home. I clearly stated that I didn't want to go to his place and slept with him. I went to the bathroom at some point, and after a little while, I started feeling very bad. He offered to take me to his place. After this, I remember bits and pieces. I tried to say no, push him away, etc. I woke up naked, my clothes torn apart, went home confused, without really consciously acknowledging that I had just been being assaulted until a few days later when I told a friend of mine and she said to me “hey do you realise you were raped?” So I didn't take any medical exams.¨",2020,"Albrechtstr. 8, 12165 Berlin"
"¨I once was followed by a guy from inside the U Bahn, Jannowitzbrücke to Hermannplatz. It was early in the morning and clearly this guy was trying to make a slurred conversation when I was clearly showing that I was extremely uncomfortable to get involved in. There were many people around us, they didn’t do anything besides watch. He even got out of the train and stalked me outside on the road, that’s when I actually started to run madly until I don't see him¨",Unknown,Jannowitzbrücke
"¨I was beaten up in the S Bahn and I am very confused as to why they let the person I am charging against go. The police said, “we have his info, he can't disappear unless he changes his identity.” I find this odd.¨",Unknown,"Goerzallee 189-223, 14167 Berlin"
"¨I went out on Saturday to a well-known club in Kreuzberg and someone spiked my drink. I just had a few Aperols and suddenly I passed out. I don't remember so much but I do remember some hallucinations and vomiting a lot. Luckily a friend of mine never left me alone and nothing worse happened to me but I woke up in the Rettungsstelle in the Urban Klinik 3 hours later. The nurses were nice and treated me well, though the doctor didn't believe me when I said I didn't take anything besides alcohol.¨",2021,Kreuzberg
"¨I was having an evening walk, I guess it was around 11 pm. I was on my way home, and I passed by Jannöwitsbrücke metro station. A guy was walking in the opposite direction. At some point, the sidewalk got a bit narrow, and when the guy passed by me, he grabbed the upper part of my hips (he basically touched my butt) (kinda like if we were dancing or something) and continued walking casually. It took me around 5 sec to realize what happened, and I turned around and yelled at him. He laughed and just kept on walking.¨
",Unknown,Jannöwitsbrücke
"¨I am from eastern Europe and my flatmates were afraid I would steal the towels, so when I moved out I left mine.¨",Unknown,Prenzlauerberg
"¨I have experienced many touching, groping, and inappropriate comments (Thankfully none of them resulted in a rape)¨",2014,"Schliemannstraße 15, 10437 Berlin"
"¨I have experienced many touching, groping, and inappropriate comments (Thankfully none of them resulted in a rape).¨",2014,"Friedrichstraße 61, 10117 Berlin, Germany"
"¨I have experienced many touching, groping, and inappropriate comments (Thankfully none of them resulted in a rape)¨",2015,Friedrichshain
"¨I have experienced many touching, groping, and inappropriate comments (Thankfully none of them resulted in a rape)..¨",2015,Sonnenallee
"¨I have experienced many touching, groping, and inappropriate comments (Thankfully none of them resulted in a rape)...¨",2015,Landsberger Allee/Petersburger Straße
"Race, Gender Sexual Harassment and Ethnic",2012,Mitte
"Race, Gender Sexual Harassment and Ethnic",2014,Prenzlauer Berg Kastanienallee
"Race, Gender Sexual Harassment and Ethnic",2016,Wedding
"Race, Gender Sexual Harassment and Ethnic",2021,U Naturkundemuseum
"¨I have heard many times, you don't look like Latina, Latinas are so sweet you are not, Latinas know how to cook¨",Unknown,Halleschtor
"¨After a job interview in 2021 I received the following message
I have concluded that you are not the right employee for us, It seems discriminatory to you, I do not want to have an employee sitting here with a headscarf in the office let alone talking to customers.¨
",2021,Wedding
"¨I have already suffered several ""street"" sexual harassment. Men looking at me in an intimidating and perverted way. Even a man who asked for money and told me and other two friends (all girls) — I have a penis and you can maybe give him something for his penis""",2021,"Friedrichstraße 50-55, 10117 Berlin"
"¨In summer when I am using fewer clothes, there is no day in my life without someone trying to approach me or catcalling.¨",2021,Schonenberger Ufer 
"¨It were several cases of sexual harassment for being a woman, for being a Brazilian woman, and simply for being Brazilian. Very often men start saying completely inappropriate things when they find out that I am from Brazil. Already happened with random guys I met, food delivery guys at my door, bus drivers when I was alone in the bus, Uber drivers when I was alone in the car, which means besides being inappropriate I was in a very vulnerable position. Besides I already was harassed in the S Bahn for “coming back from the club in the middle of the night without my boyfriend”, I was called a “whore” in the bus by a drunk man for no apparent reason, a guy once started to scream at me in the train apparently because I didn’t talk to him. One night I was waiting for my bus and a man started to ask me to get inside his van over and over again even though I was avidly refusing. I believe he just left after a while because I had a distance from the car and probably he was afraid of someone passing by and seeing it. I was laughed at in the supermarket because of my German skills - harassed by a cashier and a client (that happened to be one of my neighbors). Those are just a few stories, there’s more but I can’t write down everything.¨",2019-2021,Köpenick
¨People looked ugly at me when they saw where I'm from. When I was on a date I told the guy where I was from and he made offensive racist jokes.¨,2019--2021,BER Airport
"¨Most of the time it was a matter of preconceptions about how Brazilian women behave and the myth of the sexually insatiable, or promiscuous, Brazilian.¨",2018,"Schöneberg, Berlin"
¨An old German Guy told me that Germany was for Germans only.¨,2020,Wrangelkiez
"¨I asked a woman if she was speaking English at a vaccination center, she told me — we are in Germany and in Germany people speak German — so I should not ask questions if I don’t speak German.¨",2021,"Olympischer Platz 3, 14053 Berlin"
¨I had problems with anti-Semitism when I lived in Wedding¨,Unknown,Wedding
¨The Kita-Gutschein (s a voucher that provides your child with free childcare in Berlin) of my daughter needed extra proof that I am working. Another single (male part-time) parents didn’t have to put that much time into persuading the Kita to take their kid in early 2021. Plus they didn’t have to take care of their kid at home until it was sorted out. So a man could work more and earn more money than me. The state at least should not discriminate.¨,Unknown,Wedding
Xenophobia,2016,Prenzalauer berg
Racism and Homophobia,2017,"Badstraße 1-3, 13357 Berlin"
Racism,2018,wollankstr station
"""You don't belong here"" I hear so many times",2019,Kurfürstendamm
Homophobia,2022,Neukölln
"""On 09 May I met my friend at Tempelhofer Feld. We had a picnic. We met at around 3 pm. I drank wine. Too much wine. My last memory is around twilight time. The next thing I remember is being alone at a bus stop. I had hurt my hand (i don't remember how). I didn't have my phone. I didn't know where exactly I was. I was confused and didn't know how I would get home. I was waving down cars that came by, hoping they would be a taxi. Finally, a taxi stopped. He saw my hand and gave me a wipe to clean it. He seemed kind.
He brought me back to my door. I paid him and got out of the taxi. I went to my door and was rummaging around in my bag for the keys. The taxi driver drove back around. He said I should get back into the taxi until I found my keys. I was hesitant but he said it was ok. I got in and was still looking for them. He took me somewhere quite nearby. I was still rummaging. He got in the back. He fucked me and I didn't even stop him, I was so drunk. I didn't try to fight back or say no. When he was done he took me back to my flat.
I don't even know why I'm writing this. I want to forget and never think of it again. Have booked an STD test for the beginning of June. I haven't told anyone; I don't want to deal with the shame. I am ashamed that I didn't try to stop him, that I was so drunk.""",2021,Mariendorf
¨I went to a späti next to my apartment and a dude started talking to me and followed me from there and pushed me into the apartment block door. I just yelled out “nein nein nein”!!!!¨,2021,Kreuzberg
"¨I was at a bus station, having chocolate and eating. A creature came  out  of the second  station to sit where I was standing. Told me to put on the mask. I told her that I was eating, that I had been alone there and that we were outside. She told me that there was no place to eat and kept insisting that . I should put the mask on because it was my obligation. I told her to keep her distance and to leave me alone and take care of herself.  She began the verbal abuse:“Kanaken are all the same”;  “They leave other places to come here and they don't behave”.  I asked her to shut up because I work, pay my taxes, and have the same rights as her to be there. I also added that she was being racist. She continue and threatened to hit me with her crutches. She was an elderly woman. I said that if he wanted to hit me then he would call the police. She mocked and told me to call because I was the wrong one. I went to take my trash in the basket when I came back, she resumed the aggression. I told her what I might be doing was Ordnungswidrigkeit (administrative offense), liable for a cash fine, but what she was doing was a crime. The old man who accompanied her didn't say a single word. The bus came, we all got in. She started to tell what happened to the other person who was with her, and I said it loud and clear: Don't forget to tell about her racist aggressions. Next time they will take you to an Anzeige (Notification).¨",2021,Kapelle ufer 
"¨4 years ago I was at a house party where I got so drunk and stoned, so I decided to go to the kitchen to have a bit of space and smoke a cigarette. A couple of minutes later a guy that I know (not friends, never really talked) joined me and asked me if I wanted some drugs. I told him I had never tried it before but he insisted on trying it, and honestly, I was just being irresponsible because I didn‘t know what the effects would be. He gave me 2 big lines without really telling me how it would make me feel. A couple of minutes later, I felt it right away and I just couldn‘t feel or move my body, but I was pretty much aware of what was happening. We sat on the kitchen counter and he kissed me without me being able to do anything about it. I didn‘t want it and I didn‘t like him. Minutes later, some people entered the kitchen, then he whispered to my ear right away “Don’t tell anyone. (Also, his girlfriend was at that party). Another guy was cooking in the kitchen but we were behind him so he could not see us. Apparently, he heard that we were kissing and he didn’t want to disturb me so he stepped out of the kitchen. (He is my only witness). When it was just the two of us again, he started to touch me and I could not do anything because I was more or less paralyzed. I remember he unzipped or played with the zip of my jeans and tried to touch me even more. I felt so sick at that point I just wanted to throw up, all of a sudden I got this strength from God knows where to push his hands away and run to the toilet to throw up. By the time I was done there, he had already gone home. I feel like he knew from the beginning that I would be his easy target, so it was all intentional. Was it all part of his plan? What would have happened if I didn’t feel sick and wanted to throw up? I have no clue. Anyway, we bumped into each other a couple of times after and he seems to think that I don‘t remember about it. However, it triggers me a lot whenever I see his face. I had to leave several events abruptly just because he was there all of a sudden. I told some people around him about this and all they do is normalize his behavior. Then apparently when people asked him about this, he told them that it’s a lie and I’m just making things up. Classic, right?¨",2016,Rahel Hirschstrasse
"¨At my actual workplace, my manager tried to rape a colleague of mine. It was really bad. He destroyed her face. I really do not want to work there anymore because the managing director did nothing about it and wants us all to keep on working as if nothing happened. I am so disgusted. This could have happened to me or any other female worker.¨",2021,Moabiter Brucke
"¨I was drugged very recently at Minibar in Kreuzberg and it was a horrible experience. Thank god my boyfriend was with me and took me safely home. Whatever it was, it was strong and happened fast. Be safe. Apparently, it's used not only as a date-rape drug but for muggings too.¨",2019,Kreuzberg
"¨I had never suffered anything until the day I entered the physiotherapy course. There was bullying of teachers and students. A teacher was teaching with a lot of accents and everyone laughed at me because I didn't understand parts. After being pushed by a teacher who always yelled at me, I went to talk to the coordinator and the answer was the worst possible: Latinas are really moody! And they laughed derisively. At the time I was really sick and I dropped out of this school. I improved the health of my body and also of the mind and entered another massage therapy school. The same thing. They can't seem to bear to see a Latina at the same level as them. In this school, I didn't allow bullying. They were sometimes very ridiculous comments like if I'm wearing too many clothes, it's because I'm shy and because Brazilians are religious. If I wasn't wearing fewer clothes, it's because Brazilians are promiscuous. I always gave an answer. It was not pleasant, I wasn't relieved. I never want to go back there even though I had some good teachers.¨",Unknown,Hansabrucke
"¨I have been a German teacher for 27 years. I worked for more than 10 years in a largely German school in Berlin and suffered all kinds of prejudice for being a woman, a foreigner (despite being a German national), and a German teacher in Germany with full command of the language. I was criticized for not speaking German well. The absurdity was so big that even some typos in my Master's work were themed by one of the bosses at the time.
I suffered sexism and prejudice on the part of the two bosses, by the school secretariats, In the school secretariat. They even said that I was an actress in a pornographic film.
I was fired under humiliation in front of a class of over 12 students on the first day of school. I sued the school, won the case and a year later I was readmitted. I accepted at the time because I was almost without work for a year. Other than that, I got involved in different fights and discussions with the school, as several students also suffered some kind of discrimination. I always heard it wasn't my business. 
I've been teaching at a university for a little over a month and in the second week of class I was literally bullied by a mate who entered the classroom talking horrors for being in her room, which was not true. This time my reaction was to laugh out loud at her and make her somehow irritated. I wrote a letter of complaint to management and there was an informal verbal apology which I declined. Anyway, whether they like it or not, I'm going to continue teaching German wherever I want!¨
",Unknown,"Luisenstraße, berlin"
"¨During the time I’ve been living in Berlin, unfortunately, I met lots of people, who have prejudice about girls from Eastern Europe. Maybe I met the wrong people, but I’m tired to explain that I’m not a prostitute or I’m not gonna steal anything from their house.¨",2019,Rathaustrsasse
"¨I went to a gynecologist and asked him if I could go back to working out (after the operation I had) and he said — with your body, you don't need to work out.¨",Unknown,"John-Foster-Dulles-Allee, 10557 Berlin"
"¨My building is being renovated, yesterday construction workers were staring at me through the windows and were commenting what I do, and how I sit at my desk (it was just rude), I thought maybe it was a one-time accident and they will disappear but they didn't (my windows are more or less covered not entirely since I need some sunlight and this whole thing makes me anxious and I feel uncomfortable just sitting in my apartment what is ridiculous.¨

",2020,Jannowitzbrücke
"¨An apartment agency just told me there is no chance they would give me their apartment because of my nationality! I had 5 times the rent, an unlimited contract before, and a Schufa (general credit protection agency) of 98,3.¨",Unknown,"Luisenstraße, 10117 Berlin"
"¨I was out in a bar today, and on my way back, I experienced the worst racism in my life. I hate Berlin even more now. I actually firmly believe Berlin has a serious problem with racism. It’s there and it’s big. period. The worst part of it is that people ignore that because “Berlin is such a multicultural city” or “racism is everywhere”. I even saw a German ad against racism and all the comments there was either racism no longer exists in Germany or what about white racism against germans. I’m really sick of this attitude of denying the problem. ¨",2019,Elsenbrucke
"""Last night in a club I was dancing with my friend when we somehow got talking to a group of men. I was offered a puff of a joint (which I think he told me was a cigarette as I never say yes to weed). Then I began to feel really spaced out. I was told after I felt high by those same guys that they put something in my glass of water and that they give girls drugs so they “party all night” and go home with them. The next 8 hours were spent hallucinating and in no control of anything. I’m not sure if it was the joint or the drink that affected me but I think they worked together to impair me. Luckily my flatmate took me home and didn’t have anything. I couldn’t feel any sensations and I  felt out of the body and in another dimension. This could have easily been much worse¨
",2019,"Andreasstraße 21-22, 10243 Berlin"
"¨Because of covid some days streets were pitch black - due to the regulations, no bars, restaurants, and spät were opened, so there were not a lot of people and lights on the streets. One day, after I finished my job I headed directly home - it’s like 15 min distant. During this short trip I was approached twice by some guys - one of them was following me through the Pannierstrasse talking about things.¨",2021,Danziger strasse 
¨I read a lot of posts on Facebook about women having been hit in the head by strangers and it happened to me. I was completely shocked and waited for the police to arrive. It happened on PrenzlauerBerg. Thankfully I was filming something else when he hit me and it all got caught on film.¨,Unknown,Gotzkowskybrücke
"¨I got followed on the way home from U Bahn station near my office on my way back home from work. This already happened twice by different men, both happened in the summer around 7 pm while it was still bright outside. Now I am too paranoid, I always check who is walking behind me even when I am in public places and check if anybody is behind me before putting my key in the front door.¨",2021,S-Bahn Plänterwald 
"I was going from Berlin to Brazil. In my carry-on bag there were some things I can't find in Brazil, especially for my mother (laundry items - cleaning she likes, those bubble perfume boosters, you know?), as well as food. The magazine woman took it out item by item, laughed, showed it to her assistant, they laughed and made fun. Xenophobia.",2021,"BER Airport, Schönefeld"
"¨I was on my first tinder date at a bar in Kreuzberg. The guy knew the people working in this bar and they knew him. He talks about his father and says that he was a policeman and a powerful man in Germany. Everything went well, we kissed, but then I was tired and needed to work the next day so I didn't have any alcohol at all. He insisted on having a last drink before I went home and he ordered something with alcohol without my approval. I finally agreed to have this one drink and then go home. I clearly stated that I didn't want to go to his place and slept with him. I went to the bathroom at some point, and after a little while, I started feeling very bad. He offered to take me to his place. After this, I remember bits and pieces. I tried to say no, push him away, etc. I woke up naked, my clothes torn apart, went home confused, without really consciously acknowledging that I had just been being assaulted until a few days later when I told a friend of mine and she said to me “hey do you realise yorealizeen raped?” So I didn't take any medical exams.¨",2021,"Kottbusser Damm 88, 10967 Berlin"
"¨My anxiety level is getting out of control. There have been multiple rape cases in my area in the last few months, after the serial raper was caught just a few weeks ago in my neighborhood, in the past week, there have been 2 new rape incidents, in my area again, and no one has yet to be caught. One of which is where a lady was attacked by 3-4 men when she was walking home from grocery shopping at night. Another one was a rape attempt that happened just a few days ago when a lady was returning to her uni-campus from a morning train (around 3-4 am) (on her way from the station to the campus, which is just a few hundred meters walk). I've adjusted my morning walk routine to afternoon, and only on the main street. I love sitting by the lake reading, but now I start to think if these activities are even safe (especially after reading about the lady that got attacked so close to the station where I usually hang out). I've ordered a keychain alarm, and I'm gonna practice using pepper spray in the garden so I don't panic and don't know how to operate it properly when I need to.¨
",2020,"Podbielskiallee 78, 14195 Berlin"
